ID,Name,District,Routes,Landing_URL
"17dSFskZua3F9fz1ObEr","Thazhe Chovva Junction","Kannur","Thalassery, Kozhikode, NH66 South Bound, Chala","https://nattufeed.com/stop/17dSFskZua3F9fz1ObEr"
"4EH1Lonjw7yEC7Q0eNhX","Civil Station Stop","Kannur","Caltex Junction, Talap, Collectorate Staff Routes","https://nattufeed.com/stop/4EH1Lonjw7yEC7Q0eNhX"
"5nLf6a6Bj90kBFC6yjEN","Kannur Railway Station","Kannur","Mangalore, Kochi, Trivandrum, Chennai, Coimbatore","https://nattufeed.com/stop/5nLf6a6Bj90kBFC6yjEN"
"6qmSOKae5SbaLsWtQE6j","Pazhayangadi Bus Stand","Kannur","Payyanur, Cherukunnu, Madayi Para, Mattool, Ezhome","https://nattufeed.com/stop/6qmSOKae5SbaLsWtQE6j"
"7snUCeIkyx9nJ3IiWtOV","KSRTC Bus Stand Payyanur (Perumba)","Kannur","Kanhangad, Kasaragod, Taliparamba, Mangalore, Cherupuzha, Pariyaram","https://nattufeed.com/stop/7snUCeIkyx9nJ3IiWtOV"
"8BMmEXzP9QOWhmaxdtpT","Valapattanam Ferry Stop","Kannur","Pappinisseri, Puthiyatheru, Azhikkal, Mannad","https://nattufeed.com/stop/8BMmEXzP9QOWhmaxdtpT"
"8T9rPAvhDwoTwO8G0wcN","KANNUR NEW BUS TERMINAL","Kannur","Kozhikode, Thalassery, Payyanur, Mattannur, Iritty, Bangalore","https://nattufeed.com/stop/8T9rPAvhDwoTwO8G0wcN"
"8oBlxCka2XXMMc6mx1m7","Peralassery Stop","Kannur","Thalassery, Kannur, Mamba, Kadachira","https://nattufeed.com/stop/8oBlxCka2XXMMc6mx1m7"
"BOae6otttcocEqiENVvT","Taliparamba Bus Stand","Kannur","Alakode, Cherupuzha, Payyavoor, Sreekandapuram, Irikkur, Iritty","https://nattufeed.com/stop/BOae6otttcocEqiENVvT"
"EmjLjwV3UAewiJeFysiE","Dharmasala (Anthoor)","Kannur","Parassinikkadavu Temple, Kannur University, Bakkalam, Taliparamba","https://nattufeed.com/stop/EmjLjwV3UAewiJeFysiE"
"FAdyZMD1yqS90oRnNLof","Melechowa Junction","Kannur","Thalassery, Eachur, Mowanchery, Chala Bypass","https://nattufeed.com/stop/FAdyZMD1yqS90oRnNLof"
"FGQYFSMKS4lcaAMEOhle","Thavakkara Junction","Kannur","Railway Station Link, New Bus Stand Link, City Center","https://nattufeed.com/stop/FGQYFSMKS4lcaAMEOhle"
"G0677OhKkP2VqECLUt6Y","Sreekandapuram Junction","Kannur","Taliparamba, Iritty, Irikkur, Payyavoor, Chengalayi","https://nattufeed.com/stop/G0677OhKkP2VqECLUt6Y"
"H2132fxHjW2CNjApLz6u","Puthiyatheru Junction","Kannur","Payyanur, Taliparamba, Pappinisseri, Valapattanam","https://nattufeed.com/stop/H2132fxHjW2CNjApLz6u"
"IdjhdNBKTmHRzgfeenGt","Cherupuzha Bus Stand","Kannur","Payyanur, Alakode, Pulingome, Thirumeni, Karnataka Border","https://nattufeed.com/stop/IdjhdNBKTmHRzgfeenGt"
"JOKsY2MrgRcuMXyjd5fk","Anjarakandy Junction","Kannur","Chakkarakkal, Mattannur, Mamba, Thalassery","https://nattufeed.com/stop/JOKsY2MrgRcuMXyjd5fk"
"LJfpceAb6KFSpOXBWG9P","Kuthuparamba Bus Stand","Kannur","Panoor, Thalassery, Mattannur, Uruvachal, Kannur City","https://nattufeed.com/stop/LJfpceAb6KFSpOXBWG9P"
"LeDfizOXkOrtZmclePA8","KSRTC Bus Stand Kannur (Caltex)","Kannur","Thiruvananthapuram, Kochi, Coimbatore, Madurai, Sultan Bathery, Palakkad, Kasaragod, Taliparamba","https://nattufeed.com/stop/LeDfizOXkOrtZmclePA8"
"PTf3H0dK6nCYrnXpZBg4","Panoor Bus Stand","Kannur","Thalassery, Kuthuparamba, Nadapuram, Mahe, Peringathur","https://nattufeed.com/stop/PTf3H0dK6nCYrnXpZBg4"
"Qu3N6gqU4fFYIKDu5NMM","Alakode Bus Stand","Kannur","Taliparamba, Cherupuzha, Udayagiri, Karthikapuram, Karuvanchal","https://nattufeed.com/stop/Qu3N6gqU4fFYIKDu5NMM"
"SmUcWuYSNleMmvOEikwB","Pappinisseri Junction","Kannur","Parassinikkadavu, Valapattanam, Vellikkeel, Pazhayangadi","https://nattufeed.com/stop/SmUcWuYSNleMmvOEikwB"
"TO9aEC1TJeE7n2l5fy0v","Peravoor Bus Stand","Kannur","Iritty, Kuthuparamba, Nidumpoil, Mananthavady","https://nattufeed.com/stop/TO9aEC1TJeE7n2l5fy0v"
"V4HJIV977tMUrznzDZnN","Thalassery New Bus Stand","Kannur","Kuthuparamba, Mananthavady, Nadapuram, Panoor, Kozhikode, Vatakara","https://nattufeed.com/stop/V4HJIV977tMUrznzDZnN"
"Vkf5b6JSdKsJeHGY1rzj","Chalad Junction","Kannur","Azhikode, Kannur Town, Payyambalam, Padanapalam","https://nattufeed.com/stop/Vkf5b6JSdKsJeHGY1rzj"
"YZaGxMJk5BL3AJd3aGso","Mattannur Bus Stand","Kannur","Kannur Airport, Iritty, Sivapuram, Thalassery, Kuthuparamba","https://nattufeed.com/stop/YZaGxMJk5BL3AJd3aGso"
"Zu1qIkdJ0qZEdBWWHNZr","Pilathara Junction","Kannur","Pariyaram Medical College, Payyanur, Taliparamba, Mathil","https://nattufeed.com/stop/Zu1qIkdJ0qZEdBWWHNZr"
"dRIxTQmdkbeUOx5aFD5G","Chakkarakkal Junction","Kannur","Anjarakandy, Eachur, Mamba, Kannur City, Mattannur","https://nattufeed.com/stop/dRIxTQmdkbeUOx5aFD5G"
"dhY1f2AvFYi0crI0I6wo","Moonunirath Junction","Kannur","Azhikode, Kannur City, Alavil, Vankulathuvayal","https://nattufeed.com/stop/dhY1f2AvFYi0crI0I6wo"
"eho2OgycNzOuOxpf0Bzy","Plaza Junction","Kannur","Railway Station, Fort Road, Thavakkara, Thana","https://nattufeed.com/stop/eho2OgycNzOuOxpf0Bzy"
"eq9FsXJqGgUKfZxIrU6S","Alavil Junction","Kannur","Kannur City, Azhikode, Pallikunnu, Manal","https://nattufeed.com/stop/eq9FsXJqGgUKfZxIrU6S"
"f36h01kLJO58JxhagexG","Azhikode High School Stop","Kannur","Kannur City, Azhikkal Ferry, Valapattanam, Chalad","https://nattufeed.com/stop/f36h01kLJO58JxhagexG"
"i8UzPpCU2g2AsQ1h8Hpx","Eachur Junction","Kannur","Mowanchery, Chakkarakkal, Melechowa, Kannur City","https://nattufeed.com/stop/i8UzPpCU2g2AsQ1h8Hpx"
"kHKiUycnbutclGikEOFr","Chala Junction (Bypass)","Kannur","Thalassery Bypass, Melechowa, Thazhe Chovva, Nadal","https://nattufeed.com/stop/kHKiUycnbutclGikEOFr"
"n937Y9E6qWJ22btKXwaC","Payyambalam Beach Stop","Kannur","Pallikunnu, Chalad, City Circular","https://nattufeed.com/stop/n937Y9E6qWJ22btKXwaC"
"oKAdofS2CD5CyrHoE16O","Poothapara Stop","Kannur","Azhikkal, Alavil, Kannur Town, Valapattanam","https://nattufeed.com/stop/oKAdofS2CD5CyrHoE16O"
"qaohPUkC5B8Gxl6yAk7p","Iritty Bus Station","Kannur","Virajpet, Mysore, Bangalore, Peravoor, Vallithode, Ulikkal","https://nattufeed.com/stop/qaohPUkC5B8Gxl6yAk7p"
"r2St1EWscaX5KUJg5aln","SN Park Bus Stop","Kannur","Thana, Caltex, Railway Station, Fort Road","https://nattufeed.com/stop/r2St1EWscaX5KUJg5aln"
"vWG6qZsiMRZdB1K6je2n","Thana Junction","Kannur","Mattannur, Airport, Thalassery (via Highway), Melechowa","https://nattufeed.com/stop/vWG6qZsiMRZdB1K6je2n"
"wfeNlwK9k5mfdGlPY7uT","Padanapalam Stop","Kannur","Chalad, Talap, Civil Station, Kannur City","https://nattufeed.com/stop/wfeNlwK9k5mfdGlPY7uT"